gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,80,210,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,243,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,256,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,258,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,280,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,420,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,467,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,473,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,483,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,512,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,540,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,560,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,738,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,748,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,768,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,905,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,986,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,1024,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,1198,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,1536,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,1609,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,1754,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,2048,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,2817,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,2831,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,3072,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,4096,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,5900,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,6144,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,7518,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,8192,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,16384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10302,0,156.3505,opus_gemm_gfx942_wkc_512x32x16x64_1x1_16x16x16_0x0x0,0.0,41.21,1296.88
